,raw,clean,prediction
10,"@AkhdanZiyaad @Saha_namina_ @jokowi Dungu tereak dungu ya drun.. SBY ngutang hasilnya apa coba ???
Cuma candi hambalang...

Kalo Jokowi ngutang, itu utk membangun negara ini &amp; ngasih vaksin covid 19 gratis utk ente &amp; seluruh keluarga ente

Masih mending ente dikasih vaksin bukanmya langsung di DOR spt rezim orba.",dungu reak dungu iya drun surabaya ngutang hasil apa coba cuma candi hambalang jika jokowi ngutang itu untuk bangun negara ini amp asih vaksin covid gratis untuk ente amp seluruh keluarga ente masih lebih baik ente kasih vaksin bukanmya langsung di dor seperti rezim orba,0
11,Uni Eropa Usul Tes &amp; Vaksin Covid-19 Gratis Bagi Pengungsi Ukraina,uni eropa usul tes amp vaksin covid gratis bagi ungsi ukraina,1
12,"Namanya efek samping itu ga semua mengalami, mayoritas yahya dapat yang ringan saja Karna pancingan sel tubuh manusia oleh zat asing dari farmasi besar, apakah anda sudah teredukasi bahan vaksin covid secara teliti?

No.. Karna gratis mereka tidak memberi petunjuk transparansi",nama efek samping itu enggak semua alami mayoritas yahya dapat yang ringan saja karena pancing sel tubuh manusia oleh zat asing dari farmasi besar apakah anda sudah edukasi bahan vaksin covid cara teliti no karena gratis mereka tidak beri tunjuk transparansi,0
13,"@KehangatanAl @mamoyyy_andin vaccine be like : lu udah dapat jatah gratis 3x vaksin,trs salahin gw yang tugasnya melindungi diri manusia dari covid. Manusia ga tau diri ya anda",vaccine be like kamu sudah dapat jatah gratis vaksin terus salah gue yang tugas lindung diri manusia dari covid manusia enggak tahu diri iya anda,1
14,"@ftrrii1 @WillyFerdinan13 @JunieNie1 @idikms @ProfesorZubairi Orang yang menolak vaksin dan masa bodo amat dengan covid hanyalah orang-orang yg ngerasa si paling kuat. Nanti kalo kena covid ujung-ujungnya minta pengobatan gratis. Bikin susah pemerintah, nambah2in subsidi, nambah2in biaya, uang rakyat dipake buat ngobatin orang yg masa bodo",orang yang tolak vaksin dan masa bodo amat dengan covid hanya orang orang yang rasa sih paling kuat nanti jika kena covid akhir ujung minta obat gratis buat susah perintah tambah ini subsidi tambah ini biaya uang rakyat pakai buat ngobatin orang yang masa bodo,0
15,BANGSAT 2022 MASIH AJA ADA YANG BELUM VAKSIN COVID SEKALI PUN. PADAHAL GRATIS!!!! Nyusahin satu bis,bangsat masih saja ada yang belum vaksin covid sekali pun padahal gratis susah satu bis,0
16,"@KemenBUMN mohon maaf kini status tlah berubah dr pandemi ke endemi covid, saat nya Mudik gratis dari BUMN di adakan lagi untuk menghindari penumpukan pemudik di tranfortasi lain nya dn juga ada bentuk sosial dari BUMN kpd masyarkt yg akn Mudik 2022 ,mungkin sarat ny vaksin 2-3",mohon maaf kini status tlah ubah dari pandemi ke endemi covid saat nya mudik gratis dari bumn di adakan lagi untuk hindar tumpu mudik di tranfortasi lain nya dan juga ada bentuk sosial dari bumn kepada masyarkt yang akan mudik mungkin sarat nya vaksin,0
17,"@SBSembiring @CNNIndonesia @Kemenag_RI @Kemendag Vaksin gratis, Pengobatan covid dllnya gratis itu karena yang bayar APBN
Pak mana ada yg gratis, pipis ajja bayar 2 rebu 😎",vaksin gratis obat covid dllnya gratis itu karena yang bayar apbn pak mana ada yang gratis pipis saja bayar rebu,0
18,"@Mishabolot Emang sering main sih anaknya, kemarih buat makan doang trus ngilang

Coba nge vaksin kucing bisa gratis kayak vaksin covid 😥",memang sering main sih anak kemarih buat makan doang terus hilang coba nge vaksin kucing bisa gratis seperti vaksin covid,0
19,@Rena__Anggraeni Sad di tempat ku gada vaksinasi gratis dari awal covid Ampe sekarang,sad di tempat ku enggak ada vaksinasi gratis dari awal covid sampai sekarang,0
20,@Boimkayla Presiden Jokowi mengajak semua masyarakat untuk segera divaksin karena vaksin covid itu penting demi mencapai kekebalan kelompok dan ingat vaksin nya gratis!,presiden jokowi ajak semua masyarakat untuk segera vaksin karena vaksin covid itu penting demi capai kebal kelompok dan ingat vaksin nya gratis,1
21,"@_fandii_ @rumpoko_ @herodionsimo @txtdrjkt Apalagi ada secara nyata dalam pembukaan UUD’45 , jika negara abai dan mementingkan hal yang rakyat rasa tidak begitu penting maka bisa digugat. Fyi, vaksinasi covid gratis bagi masyarakat bukti pemerintah mengutamakan keselamatan rakyat dan mengakui sbg hukum tertinggi.",apalagi ada cara nyata dalam buka uud jika negara abai dan penting hal yang rakyat rasa tidak begitu penting maka bisa gugat bagai informasi vaksinasi covid gratis bagi masyarakat bukti perintah utama selamat rakyat dan aku bagai hukum tinggi,0
22,kenapa pengumuman tempat layanan vaksin covid tetep ada tulisan gratis padahal dari awal juga udah gratis,kenapa umum tempat layan vaksin covid tetap ada tulis gratis padahal dari awal juga sudah gratis,0
23,"wkwkwk ada yg nanya ""vaksin kan gratis?"" errrr itu aku habis bahas vaksin hepatitis bukan vaksin cororong alias corona 😭😭",wkwkwk ada yang tanya vaksin kan gratis er itu saya habis bahas vaksin hepatitis bukan vaksin corona alias corona,1
24,"@atjehsultanate Bayangkan harus merawat 3 juta org Indonesia yg berobat secara gratis krn covid, membeli vaksin dan memberikan bantuan2 sosial dan pendidikan.

Jadi Jokowi berhutang bukan utk memperkaya diri dan keluarganya.",bayang harus rawat juta orang indonesia yang obat cara gratis karena covid beli vaksin dan beri bantu sosial dan didik jadi jokowi hutang bukan untuk kaya diri dan keluarga,1
25,"@farouklorenzo @ronnyfrndz @Jaga_Nusantara_ @dennysirregar7 Semua yg lo SS...sebagian udah dilaksanakan....cuman elo aja si yg buta mata buta Hati....program vaksin gratis Dan bansos ga ada di janji kampanye.. FIRST THING FIRST ga ada di kamus klean.blom lagi claim BPJS trilyunan,Kita gratis berobat covid sampe isoman",semua yang kamu bagi sudah laksana hanya lo saja sih yang buta mata buta hati program vaksin gratis dan bansos enggak ada di janji kampanye first thing first enggak ada di kamus klean belum lagi claim bpjs trilyunan kita gratis obat covid sampai isoman,0
26,"@SisiwittFrida Lahh nslh pandemi covid 19 siapa yg bisa mengelak ibu..? Negara super power aja sempat goncang dibuatnya. Apalagi seperti Indonesia yg hanya sebagai negara berkembang. Apalgi rakyatnya yg sebagian pada tolol disuruh vaksin aja banyak yg tdk mau. Padahal gratis,gimana kalau bayar.",lah nslh pandemi covid siapa yang bisa elak ibu negara super power saja sempat goncang buat apalagi seperti indonesia yang hanya bagai negara kembang apalagi rakyat yang bagi pada tolol suruh vaksin saja banyak yang tidak mau padahal gratis bagaimana kalau bayar,0
27,"Sejak dulu sy memang gak percaya parpol. Terbukti. Semua parpol jelas pro vaksin.. malah memberikan gratis vaksin covid bagi masyarakat. Tentu dg iming"" akan dipilih di 2024. Namun sy bersyukur msh ada sekelompok ulama dan tokoh nasional yg tdk merekomendasikan vaksin covid",sejak dulu saya memang enggak percaya partai politik bukti semua partai politik jelas profesional vaksin bahkan beri gratis vaksin covid bagi masyarakat tentu dengan iming akan pilih di namun saya syukur masih ada kelompok ulama dan tokoh nasional yang tidak rekomendasi vaksin covid,1
28,"vaksin Covid-19 adalah gratis saya adalah yang pertama 65,4% emergency kepada vaksin sinovac biotech biofarma dengan vaksin semoga kita terjaga tetap patuhi semoga pandemi ini segera kompas tv warna merah muda belalainya panjang",vaksin covid adalah gratis saya adalah yang pertama emergency kepada vaksin sinovac biotech biofarma dengan vaksin moga kita jaga tetap patuh moga pandemi ini segera kompas tv warna merah muda belalai panjang,1
29,@ManaoFlorius @ChusnulCh__ Tanyain dia sdh disuntik vaksin Covid gratis belum bro.,tanya dia sudah suntik vaksin covid gratis belum saudara laki,0
30,"@NinoAgra @GeiszChalifah SiGoblok dminta sebutin prestasi siPembohong malh nyebutin yg laen… Gobloknya akut…. Blok, mending luh jgn vaksin, biar kena Covid lgsg modar. Vaksin mau, pengobatan gratis mau, tapi pemimpin presidennya nolak, mending pindah negara. Sampah negara luh",sigoblok dminta sebutin prestasi sipembohong malah sebut yang lain goblok akut blok lebih baik lu jangan vaksin supaya kena covid langsung modar vaksin mau obat gratis mau tapi pimpin presiden nolak lebih baik pindah negara sampah negara lu,0
31,"@Rizmaya__ @RamliRizal Wkwkkw.... Dunia sj mengakui indonesia sbg 5 neg terbaik penanganan covid. Vaksin begitu masif. Bahkan booster telah dilakukan. Semuanya gratis. Tp tikus curut ini krn sakit hati, menuduh asal bunyi... kita rakyat ketawa aja liat manusia begini.. ! Hrsnya kritik itu by data.",tertawa dunia saja aku indonesia bagai neg baik tangan covid vaksin begitu masif bahkan booster telah laku semua gratis tapi tikus curut ini karena sakit hati tuduh asal bunyi kita rakyat ketawa saja lihat manusia begini harus kritik itu by data,0
32,@sudut_ruanganIX Dan varian Omicron adalah vaksin gratis dari Tuhan untuk manusia agar sistem kekebalan alami tubuh manusia lebih kebal terhadap varian baru dari mutasi sel virus covid19 itu sendiri.,dan varian omicron adalah vaksin gratis dari tuhan untuk manusia agar sistem kebal alami tubuh manusia lebih kebal hadap varian baru dari mutasi sel virus covid itu sendiri,1
33,"@rrasyid34 @KetutRis @ismailhasan13 @pirenaningsih @blogdokter Padahal vaksin korona juga gratis, apa lagi klo bayar 🤣🤣",padahal vaksin korona juga gratis apa lagi kalo bayar,0
34,"@AgusAbd83360268 Ya iyalah vaksin gratis, orang belinya pake APBN, lo pikir pake duit jokowi !! mana ada pasien covid semua gratis hahaha baru kluar gorong² lo?",iya iya vaksin gratis orang beli pakai apbn kamu pikir pakai duit jokowi mana ada pasien covid semua gratis hahaha baru keluar gorong kamu,1
35,"@An_Kiim Yg dikerjakan pemerintah, rakyat miskin dpt JKN KIS, Vaksin gratis, pasien covid 19 gratis.itu d bid Kesehatan.",yang kerja perintah rakyat miskin dapat jkn kis vaksin gratis pasien covid gratis itu bid sehat,0
36,"@NotedX09 @oketon @Lah_akupiye Kok bukan prestasi.. emng vaksin d beli pake daun ya GOBLOG..

Lu cuma ngoceh doang, klo e suruh beli vaksin lu gk mampu..

Trus klo ada yg terinfeksi covid d isolasi trus d kasi makanan Ampe 2 minggu gratis.. 

Selama pandemi d kasi vaksin, bansos, kuota belajar tp gk bersyukur.",kok bukan prestasi memang vaksin beli pakai daun iya goblog kamu cuma oceh doang kalo suruh beli vaksin kamu enggak mampu terus kalo ada yang infeksi covid isolasi terus kasih makan sampai minggu gratis lama pandemi kasih vaksin bansos kuota ajar tapi enggak syukur,1
37,"Lagian tanpa perusahaannya ngelepas paten, vaksin udah gratis, negara yang ngga gratisin vaksin cuma berapa sih. Obat diperuntukkan khusus covid juga sampe saat ini belom ada. 😓",lagi tanpa usaha ngelepas paten vaksin sudah gratis negara yang enggak gratisin vaksin cuma berapa sih obat untuk khusus covid juga sampai saat ini belum ada,0
38,"@warujati1 @mulyamri2 @StopPlandemit Anak2ku semua vaksin lengkap dari yg gratis sampai berbayar. Ni gimana lagi? 
Mau ke Mekah, ikut vaksin Meningitis. 
Cuma anti sama vaksin covid ni aja karena virus covidnya gak bahaya 🤣🤣🤣. Gak perlu diselesaikan pake vaksin 🤣.",anak ku semua vaksin lengkap dari yang gratis sampai bayar ini bagaimana lagi mau ke mekah ikut vaksin meningitis cuma anti sama vaksin covid ini saja karena virus covidnya enggak bahaya enggak perlu selesai pakai vaksin,0
39,"Yakni menciptakan lingkungan kerja yang aman dengan menggencarkan program vaksinasi COVID-19 bagi para tenaga kerja dan keluarga secara gratis, lalu menguatkan jaring perlindungan sosial sebagai bagian program Pemulihan Ekonomi Nasional.",yakni cipta lingkung kerja yang aman dengan gencar program vaksinasi covid bagi para tenaga kerja dan keluarga cara gratis lalu kuat jaring lindung sosial bagai bagi program pulih ekonomi nasional,1
40,"@DoddyMaxell @Oming72494594 @WangResa @jansen_jsp Pola berfikir elu aja salah kok bilang orang bodoh.

Vaksin covid gratis?
Itu yg bayar negara. 
Negara bayar pake pajak yg di pungut dari yg vaksin maupun yang menolak vaksin.

Trus yg bodoh siapa?",pola pikir lu saja salah kok bilang orang bodoh vaksin covid gratis itu yang bayar negara negara bayar pakai pajak yang di pungut dari yang vaksin maupun yang tolak vaksin terus yang bodoh siapa,0
41,"@hiigilo @Nurchan93995658 @Helmi_Felis Lu kali... wkwkwk

Lu barisan mah gk tau diri.. udah dpt vaksin gratis 3x, dpt BLT, klo kena covid d isolasi trus dpat makan gratis 2 minggu.

Wajarlh minyak goreng langkah krn sawit jg d gunakan jd bahan bakar bio energi..

Jd sawit bkn cuma jd minyak goreng tp jg jd bio energi",kamu kali wkwkwk kamu baris mah enggak tahu diri sudah dapat vaksin gratis dapat blt kalo kena covid isolasi terus dpat makan gratis minggu wajarlh minyak goreng langkah karena sawit juga guna jadi bahan bakar bio energi jadi sawit bukan cuma jadi minyak goreng tapi juga jadi bio energi,1
42,"@Oming72494594 @WangResa @jansen_jsp Bodohnya... yg embat pemerintah apa person?? Orgnya jh sdh msk bui.
Anda termasuk gak kuat byr bpjs klas 3 ya?
Tp sdh vaksin covid gratis kan...🤣🤣",bodoh yang embat perintah apa person orgnya saja sudah masuk bui anda masuk enggak kuat bayar bpjs kelas iya tapi sudah vaksin covid gratis kan,0
43,- Vaksinasi yang diberikan secara gratis ini dimaksudkan untuk meningkatkan kekebalan tubuh masyarakat mengingat virus COVID-19 yang terus bermutasi.,vaksinasi yang beri cara gratis ini maksud untuk tingkat kebal tubuh masyarakat ingat virus covid yang terus mutasi,1
44,"@CNNIndonesia Mungkin vaksinasi Covid akan menjadi hal yg biasa seperti vaksinasi balita di posyandu 😊
Lanjutkan saja, yang penting gratis dan gampang didapat. 
Omelan para covidiot &amp; penolak vaksin sebaiknya diabaikan saja, karena biarpun ngomel2 toh nyatanya mereka diam2 dvaksin juga 😁😁😁",mungkin vaksinasi covid akan jadi hal yang biasa seperti vaksinasi balita di posyandu lanjut saja yang penting gratis dan gampang dapat omel para covidiot amp tolak vaksin baik abai saja karena biarpun ngomel toh nyata mereka diam dvaksin juga,1
45,"@rahardianhadi07 @DRespati3 Yoi... 
Harusnya cuma yg pro pemerintah doang yg dapat fasilitas 3x vaksin gratis.

Trus yg suka kritik dan menghina pemerintah hrusnya gk dpt vaksin gratis tp harus bayar masing2..

Anehnya KADRUN gk tau diri, coba klo mrk gk d vaksin atau kena covid trs sakit ya bisa mati the",ya harus cuma yang profesional perintah doang yang dapat fasilitas vaksin gratis terus yang suka kritik dan hina perintah harus enggak dapat vaksin gratis tapi harus bayar masing aneh kadrun enggak tahu diri coba kalo mereka enggak vaksin atau kena covid terus sakit iya bisa mati the,0
46,"@sudah_vaksinke2 @Nugroho_Wiwoko @anaqembar @prayuyal @CNNIndonesia Kalo positif kena Covid kn gratis. Gk byr sepeserpun. Bayar administrasi aja nggak. Thn lalu sy dirawat 10 hari kena Delta. Gratis. Alhamdulilah selamat. Om &amp; nenek sy gamau vaksin, kena jg &amp; skrg almarhum.",jika positif kena covid kan gratis enggak bayar peser bayar administrasi saja enggak tahun lalu saya rawat hari kena delta gratis alhamdulilah selamat om amp nenek saya enggak mau vaksin kena juga amp sekarang almarhum,1
47,"Dunia makin kacau, kebijakan makin aneh, oklah syarat mengurus dokumen layanan publik harus ada surat vaksin. oke vaksinnya gratis dan make sense juga lagi corona gini. Nah sekarang syarat terbaru adalah harus punya BPJS Kesehatan,",dunia makin kacau bijak makin aneh oklah syarat urus dokumen layan publik harus ada surat vaksin oke vaksin gratis dan pakai sense juga lagi corona begini nah sekarang syarat baru adalah harus punya bpjs sehat,0
48,"@CNNIndonesia Swedia negara yg terkenal super makmur akhirnya membebaskan covid dari pandemi hanya demi efisiensi krn disana sblmnya pcr ama antigen gratiss smuaaa, klo negara yg duitnya pas2an kira klo disuruh milih mau pcr gratis atau vaksin gratis??? Mikir dong pack,wkwk",swedia negara yang kenal super makmur akhir bebas covid dari pandemi hanya demi efisiensi karena sana belum pcr sama antigen grati semua kalo negara yang duit pas an kira kalo suruh pilih mau pcr gratis atau vaksin gratis mikir dong pack wkwk,1
49,@panca66 Dasar picik.. Siapa yang bisa menduga pandemi Covid 19 dan berapa uang negara dihabiskan.. Belum lagi biaya vaksin gratis..,dasar picik siapa yang bisa duga pandemi covid dan berapa uang negara habis belum lagi biaya vaksin gratis,0
50,"orang orang di negara maju enak banget, vaksin gratis tapi bagus. Lockdown ketat. Selama 2 tahun ini mungkin ga pernah kena covid. Sedihnya gini kalau jadi WNI 😭",orang orang di negara maju enak banget vaksin gratis tapi bagus lockdown ketat lama tahun ini mungkin enggak pernah kena covid sedih begini kalau jadi wni,0
51,"Laskar vaksin dan Laskar tracing tau nya bekerja tdk lihat hari kerja atau hari libur.., hanya bs memohon please manfaatkn vaksin gratis dan slalu 3M.. agar cepat slesai pandemi covid-19 ini..🙏🏼",laskar vaksin dan laskar tracing tahu nya kerja tidak lihat hari kerja atau hari libur hanya bisa mohon tolong manfaatkn vaksin gratis dan selalu agar cepat selesai pandemi covid ini,1
52,@Nicho_Silalahi @ListrikJatim Kebaikan pemerintah ini adalah 2X anda di vaksin covid dengan GRATIS sampai otak lae jdi error 🤣🤣🤣🤣🤣🤣,baik perintah ini adalah anda di vaksin covid dengan gratis sampai otak lae jadi error,1
53,"@MprAldo 1. Covid hoax
2. Vaksin harus gratis 
2. Vaksin membunuhmu
3. Vaksin tidak berguna
4. Tolak vaksin
5. Tolak pemaksaan vaksin
Eh skarang malah jualan asap kapal terbang 🤦. 
Besok entah apa lagi",covid isu bohong vaksin harus gratis vaksin bunuh vaksin tidak guna tolak vaksin tolak paksa vaksin eh sekarang bahkan jual segera mungkin kapal terbang besok tidak tahu apa lagi,0
54,"@myputun Dulu waktu awal Covid-19 ramai2 kalian teriak minta vaksin, sekarang vaksin sudah ada bahkan gratis malah kalian tolak. Maunya apa?",dulu waktu awal covid ramai kalian teriak minta vaksin sekarang vaksin sudah ada bahkan gratis bahkan kalian tolak mau apa,0
55,"kalo covid adalah ""plandemi"" yg dibuat elit banyak negara. virus beneran dibuat, disebar, terus para elit bikin lah vaksin buat di jual, bisnis kan katanya...

terus pemerintah beli vaksinnya, buat dibagiin ke rakyatnya, gratis... kalo ini bisnis, pemerintah udah rugi banyakk bgt",jika covid adalah plandemi yang buat elit banyak negara virus benar buat sebar terus para elit buat lah vaksin buat di jual bisnis kan kata terus perintah beli vaksin buat dibagiin ke rakyat gratis jika ini bisnis perintah sudah rugi banyakk banget,0
56,"ada gitu orang vaksin suruh bayar? kalopun secara teori konspirasi covid itu bisnis alat dan vaksin, dengan dibagiinnya vaksin gratis sama pemerintah, pemerintah juga udah nolongin rakyatnya dari yg katanya ""bisnis"" ini.",ada begitu orang vaksin suruh bayar kalo cara teori konspirasi covid itu bisnis alat dan vaksin dengan dibagiinnya vaksin gratis sama perintah perintah juga sudah tolong rakyat dari yang kata bisnis ini,0
57,"yg gak setuju vaksin covid kadang argumennya ini cuma permainan kesehatan. bahkan, beredar video isinya materi kenapa covid di Indo gak selesai? jawabannya karena masih banyak ""peminatnya"". pasarnya masih bagus katanya.

tapi.. vaksin kan gratis 🙄",yang enggak tuju vaksin covid kadang argumen ini cuma main sehat bahkan edar video isi materi kenapa covid di indonesia enggak selesai jawab karena masih banyak minat pasar masih bagus kata tapi vaksin kan gratis,0
58,"Padahal ga pernah sekalipun aku mengalutkan/menghebohkan org flu batuk di dekatku. Bahkan nyuruh swab pun nda pernah. Sekali aku yg sakit, nuduh aku kena covid.
TERSINGGUNG COI, SAKIT HATI 🤬

Vaksin jak bah kau tu pade ngalutkan nyuruh orang swab.
Vaksin gratis pun kau nda mau",padahal enggak pernah sekalipun saya kalut heboh orang flu batuk di dekat bahkan nyuruh swab pun indak pernah sekali saya yang sakit tuduh saya kena covid singgung coi sakit hati vaksin jak bah kamu itu pade ngalutkan nyuruh orang swab vaksin gratis pun kamu indak mau,0
59,"@Stevaniehuangg Gk mgkn lah mereka kena,mereka gk pernah kemana2 apalg buat kerumunan,mereka uda vaksin dan pcr tiap hari gratis,gk mgkn corona masuk ke mereka",enggak mungkin lah mereka kena mereka enggak pernah mana apalagi buat kerumun mereka sudah vaksin dan pcr tiap hari gratis enggak mungkin corona masuk ke mereka,0
60,"Vaksinasi booster bertujuan untuk meningkatkan sekaligus mempertahankan daya tahan tubuh terhadap ancaman penularan Covid-19. Vaksinasi booster diberikan secara gratis, untuk masyarakat usia 18 tahun keatas dan telah mendapatkan vaksinasi dosis lengkap minimal 6 bulan sebelumnya",vaksinasi booster tuju untuk tingkat sekaligus tahan daya tahan tubuh hadap ancam tular covid vaksinasi booster beri cara gratis untuk masyarakat usia tahun atas dan telah dapat vaksinasi dosis lengkap minimal bulan belum,1
61,"@NKRIJaya_ @meow_leader Vaksin gratis aja kok ya nggak mau. Vaksin untuk mencegah kalian agar nggak kena corona kalaupun kena nggak mati, sakitnya ringan. Gitu aja kok susahnya minta ampun",vaksin gratis saja kok iya enggak mau vaksin untuk cegah kalian agar enggak kena corona kalaupun kena enggak mati sakit ringan begitu saja kok susah minta ampun,0
62,@sdenta Vaksin covid juga gratis di sekolah,vaksin covid juga gratis di sekolah,1
63,"Setiap tahun kena jatah covid --""
Untung vaksin gratis, kalau bayar tak minta refund --""",tiap tahun kena jatah covid untung vaksin gratis kalau bayar tidak minta refund,0
64,"@Adhit233 @pengarang_sajak @PdiperjuanganP Yakin krn pandemi aja?ok,pemerintah sudah melakukan terbaik mengatasi pandemi,bansos,vaksin gratis,pengobatan gratis covid,karantina gratis,trus dana PEN,subsidi dll.. kalo dana buat ikn itu juga udh dipikirin dari mana asalnya.. gtu si ..",yakin karena pandemi saja ok perintah sudah laku baik atas pandemi bansos vaksin gratis obat gratis covid karantina gratis terus dana pengin subsidi dan lain jika dana buat ikn itu juga sudah pikir dari mana asal begitu sih,1
65,Pak @jokowi sy peserta vaksin gotongroyong (Sinopharm) &amp; ada tiket booster tp di pedulilindungi u/ Sinopharm nunggu arahan pemerintah.Kasus Covid meningkat &amp; booster gratis tersebar tp Sinopharm gak bs.Jgn yg pake Sinopharm boosternya vaksin Cina lagi!Gak laku u/ ke negara2 lain!,pak saya serta vaksin gotongroyong sinopharm amp ada tiket booster tapi di pedulilindungi sinopharm tunggu arah perintah kasus covid tingkat amp booster gratis sebar tapi sinopharm enggak bisa jangan yang pakai sinopharm boosternya vaksin cina lagi enggak laku ke negara lain,0
66,"@banjarbase vaksin gratis tinggal dtg suntik beres, malah tubuh bisa lebih siap melawan virus korona, lah malah milih betembak 🤦",vaksin gratis tinggal datang suntik beres bahkan tubuh bisa lebih siap lawan virus korona lah bahkan pilih betembak,1
67,@PLindungi sy peserta vaksin gotongroyong (Sinopharm) &amp; ada tiket booster tp di pedulilindungi u/ Sinopharm nunggu arahan pemerintah.Kasus Covid meningkat &amp; booster gratis tersebar tp Sinopharm gak bs.Jgn yg pake Sinopharm boosternya vaksin Cina lagi!Gak laku u/ ke negara2 lain!,saya serta vaksin gotongroyong sinopharm amp ada tiket booster tapi di pedulilindungi sinopharm tunggu arah perintah kasus covid tingkat amp booster gratis sebar tapi sinopharm enggak bisa jangan yang pakai sinopharm boosternya vaksin cina lagi enggak laku ke negara lain,0
68,"“Vaksin booster dipastikan gratis bagi seluruh rakyat Indonesia,” katanya dilansir laman resmi satgas covid-19 Rabu (26/1).
Sebelumnya, pemerintah memang menyiapkan tiga opsi dalam program vaksinasi ini, yaitu program pemerintah, Penerima Bantuan Iuran (PBI) BPJS Kesehatan,",vaksin booster pasti gratis bagi seluruh rakyat indonesia kata lansir laman resmi satgas covid rabu belum perintah memang siap tiga opsi dalam program vaksinasi ini yaitu program perintah terima bantu iur pbi bpjs sehat,1
